id,account,password,serverid,server
36,704e187cec76dc2eee2aaff82cb34aee,CYCYCY,2,ws://106.15.59.11:1112
37,3270972c4b0f2cec2b22a6b4f4f310bb,CYCYCY,2,ws://106.15.59.11:1112
38,4f4369c3703da530792747649aecf4d4,CYCYCY,2,ws://106.15.59.11:1112
39,596cadc42fbbaded590bfa4680773a4e,CYCYCY,2,ws://106.15.59.11:1112
40,8a475f6a24eb2a5332eb54e6070d1a04,CYCYCY,2,ws://106.15.59.11:1112
41,ecfb813a399b3b147b64922330bf6a4b,CYCYCY,2,ws://106.15.59.11:1112
42,cace5a1fff45a0a0f4103b10c3dd8aa5,CYCYCY,2,ws://106.15.59.11:1112
43,1b6c8d4cf2e309e778d26bdd65c387f1,CYCYCY,2,ws://106.15.59.11:1112
44,70bcb92cb8e539c6ef6fc36ec2561f30,CYCYCY,2,ws://106.15.59.11:1112
45,1154c4e4e90a23103df8316d71fa8d16,CYCYCY,2,ws://106.15.59.11:1112
46,a30376889a3d0ea4848de9a5f169dfb6,CYCYCY,2,ws://106.15.59.11:1112
47,ba432dfbdea88d7781eee6c4eb4973dd,CYCYCY,2,ws://106.15.59.11:1112
48,e9cb1774d30064424b2a41e4bacdfbe4,CYCYCY,2,ws://106.15.59.11:1112
49,af340c5e3fa1a5f09f2f19945309d57a,CYCYCY,2,ws://106.15.59.11:1112
50,ef0dd6054700bab61bb5aaa930f741e4,CYCYCY,2,ws://106.15.59.11:1112
51,742b92cadf0c593c98e4250b5af9f23d,CYCYCY,2,ws://106.15.59.11:1112
52,fba6d7af0ea25b878d71ee1983bd1418,CYCYCY,2,ws://106.15.59.11:1112
53,652370fe8cd52cf34a5f1ab9cf4f19be,CYCYCY,2,ws://106.15.59.11:1112
54,4a7314be97329839b24bc6367db429d9,CYCYCY,2,ws://106.15.59.11:1112
55,53fe47b00cbf20dbd0099f64a9193a10,CYCYCY,2,ws://106.15.59.11:1112
56,61c2dd9764b68f61754f69df00e56a0e,CYCYCY,2,ws://106.15.59.11:1112
57,9c90b073a538059c27933fc40e6419e4,CYCYCY,2,ws://106.15.59.11:1112
58,6366fae8ca5feb72eaba93ee2d87a84f,CYCYCY,2,ws://106.15.59.11:1112
59,59eab0b1b3da0db1ff347d79050ec1d0,CYCYCY,2,ws://106.15.59.11:1112
60,c009b1741206609178733505ce1c2039,CYCYCY,2,ws://106.15.59.11:1112
61,758c5626e228acec1c088f4f5c13e4ba,CYCYCY,2,ws://106.15.59.11:1112
62,4da05af8431b26d2b592e9fd7d2eecc4,CYCYCY,2,ws://106.15.59.11:1112
63,aa1aaecbdb99edeeec03399f9891abaf,CYCYCY,2,ws://106.15.59.11:1112
64,ea50f140d0e152c5c3d3c1407c2e7684,CYCYCY,2,ws://106.15.59.11:1112
65,80d78706acfa2d27bdaa4c3762142919,CYCYCY,2,ws://106.15.59.11:1112
66,0fb119462bbfcf5f08f4ceb13269bc8f,CYCYCY,2,ws://106.15.59.11:1112
67,bd91edb0db1f73b0774daa8e354e7763,CYCYCY,2,ws://106.15.59.11:1112
68,609d42dff203e14a32c017778cb0653e,CYCYCY,2,ws://106.15.59.11:1112
69,84ad7c6673ca72f50d27d704cc1b31d8,CYCYCY,2,ws://106.15.59.11:1112
70,b73666542dd58907d0387ea9fc5a5952,CYCYCY,2,ws://106.15.59.11:1112
71,e35920407488d812a98e21fa46e84094,CYCYCY,2,ws://106.15.59.11:1112
72,e4430deead199220c1808e6f162d1e16,CYCYCY,2,ws://106.15.59.11:1112
73,9bd2dd24d8cc4646bbae0581d1a553b3,CYCYCY,2,ws://106.15.59.11:1112
74,6cbbea0929a7f52b94fca39b296b940e,CYCYCY,2,ws://106.15.59.11:1112
75,a8d785f70a9bd011ceaa0d4ef33f424f,CYCYCY,2,ws://106.15.59.11:1112
76,bfc0ac6898d71cfd5b6c21bac587119c,CYCYCY,2,ws://106.15.59.11:1112
77,70b7990f00c867e71e738144444f4855,CYCYCY,2,ws://106.15.59.11:1112
78,c5502cd2713e11fa3e2305794766c23e,CYCYCY,2,ws://106.15.59.11:1112
79,f427409f025aa882e1465607144ae5da,CYCYCY,2,ws://106.15.59.11:1112
80,ab0f33bcc05bab1f54083c57436428f7,CYCYCY,2,ws://106.15.59.11:1112
81,66566c4d6e0d7374b7f25e181364edba,CYCYCY,2,ws://106.15.59.11:1112
82,6860bdf8384510ed106fe787a59859d0,CYCYCY,2,ws://106.15.59.11:1112
83,3a17ec9c9dccea08f39c0f8d5f3aae93,CYCYCY,2,ws://106.15.59.11:1112
84,2be2c9755089827c793d9224d4535e1e,CYCYCY,2,ws://106.15.59.11:1112
85,b2ae0b137877238e1fa0012eac910d74,CYCYCY,2,ws://106.15.59.11:1112
86,9914733f7fda743a1f5e4125ed54d4a6,CYCYCY,2,ws://106.15.59.11:1112
87,58dbe79532197a82bbcba16f62db551a,CYCYCY,2,ws://106.15.59.11:1112
88,0fef5493a380c5c3f3ec360d38d935fa,CYCYCY,2,ws://106.15.59.11:1112
89,90a16165d88605b03c7d13be95154e91,CYCYCY,2,ws://106.15.59.11:1112
90,48c7f99d1d459c9b693b53f6074aa16c,CYCYCY,2,ws://106.15.59.11:1112
91,5d623d44d28e5317ef081ea9ea04517a,CYCYCY,2,ws://106.15.59.11:1112
92,23f8ed844c78cd0f262106dc644e648d,CYCYCY,2,ws://106.15.59.11:1112
93,e16b03924d0ff01ebc0931734affeda6,CYCYCY,2,ws://106.15.59.11:1112
94,b23f9a6ec8fac3f515d6aa7cddc6188b,CYCYCY,2,ws://106.15.59.11:1112
95,090736fd6b1c6212e50edc66337b493c,CYCYCY,2,ws://106.15.59.11:1112
96,544b608e579cbb857eddf87dccfe7798,CYCYCY,2,ws://106.15.59.11:1112
97,2fe0452b064f2a1488e9640093583e77,CYCYCY,2,ws://106.15.59.11:1112
98,8c5814d21e3961471f4774068c9d45ee,CYCYCY,2,ws://106.15.59.11:1112
99,54f772b7d0b1eed695d2ee10cd2c9a3a,CYCYCY,2,ws://106.15.59.11:1112
100,d949aac8df746f6d1fc99d5ad6ca09d1,CYCYCY,2,ws://106.15.59.11:1112
101,47e307fd36faeed368433ae5a7f6c068,CYCYCY,2,ws://106.15.59.11:1112
102,622dab81c679edacf7e039331703b406,CYCYCY,2,ws://106.15.59.11:1112
103,758395631dacf86434a69277e7d8a9bb,CYCYCY,2,ws://106.15.59.11:1112
104,d163d9ad8e5a760e3abd6e5c7e9952a8,CYCYCY,2,ws://106.15.59.11:1112
105,70ba2f0566de3d7f2a92179b681fc1ba,CYCYCY,2,ws://106.15.59.11:1112
106,88d606fafe2328253f2c5954f76f5e67,CYCYCY,2,ws://106.15.59.11:1112
107,467921b584a19780f5bd40cc0ff868b7,CYCYCY,2,ws://106.15.59.11:1112
108,0eb06d448b878f7f33cbbdffd7f52560,CYCYCY,2,ws://106.15.59.11:1112
109,780dea6ecc3ee484e450798641ce561a,CYCYCY,2,ws://106.15.59.11:1112
110,f55e67e2afc6c59575894cef9ae8622e,CYCYCY,2,ws://106.15.59.11:1112
111,6b518362117c2fad322c7dd3cafb68be,CYCYCY,2,ws://106.15.59.11:1112
112,89894cc2d104510bb3c58df8a021f630,CYCYCY,2,ws://106.15.59.11:1112
113,c3025fe01b9cbc7bfd82e7d0ce8d3b5b,CYCYCY,2,ws://106.15.59.11:1112
114,3dcb4a4443826dc5d1779ad213db3fc2,CYCYCY,2,ws://106.15.59.11:1112
115,b8dec2c57408c808c463851d9227bffb,CYCYCY,2,ws://106.15.59.11:1112
116,1ae0d3e2c402bf9df022b57923a0d7f4,CYCYCY,2,ws://106.15.59.11:1112
117,48e14bc98cf0bad879415eeae1750d3b,CYCYCY,2,ws://106.15.59.11:1112
118,a8bdd77adbe41db6e654fcb2c29f3475,CYCYCY,2,ws://106.15.59.11:1112
119,01bee3d8b272ee1ede19096ea81d0497,CYCYCY,2,ws://106.15.59.11:1112
120,cfb60d92b1e8e5261f896aabef2396b3,CYCYCY,2,ws://106.15.59.11:1112
